Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:00000646069000000,6106 BOWLING BROOK DR,,,,1962,1962,"$5,213 ",ONE STORY,1468,$38.56 ,1210,$46.78 ,14,AVERAGE,0.5,"$56,600 ","$50,740 ",11.5491,,,
Acct:00000645727000000,6109 BOWLING BROOK DR,,,,1963,1963,"$4,851 ",ONE STORY,1360,$42.89 ,1129,$51.67 ,14,GOOD,0.45,"$58,330 ","$52,180 ",11.7861,,,
Acct:00000646072000000,6110 BOWLING BROOK DR,,,,1968,1968,,ONE STORY,1344,$43.87 ,1344,$43.87 ,14,AVERAGE,0.45,"$58,960 ","$54,430 ",8.3226,,,
Acct:00000645724000000,6115 BOWLING BROOK DR,,,,1963,1963,,ONE STORY,1098,$52.82 ,1098,$52.82 ,14,GOOD,0.45,"$58,000 ","$51,210 ",13.2591,,,
Acct:00000646075000000,6116 BOWLING BROOK DR,,,,1967,1967,,ONE STORY,1386,$52.77 ,1386,$52.77 ,14,GOOD,0.4,"$73,140 ","$64,210 ",13.9075,,,
Acct:00000646078000000,6122 BOWLING BROOK DR,,,,1968,1968,,ONE STORY,1539,$50.15 ,1539,$50.15 ,14,GOOD,0.4,"$77,180 ","$67,670 ",14.0535,,,
Acct:00000646081000000,6128 BOWLING BROOK DR,,,,1967,1967,,ONE STORY,1037,$57.90 ,1037,$57.90 ,14,GOOD,0.4,"$60,040 ","$52,960 ",13.3686,,,
Acct:00000646084000000,6132 BOWLING BROOK DR,,,,1967,1967,,ONE STORY,1109,$54.70 ,1109,$54.70 ,14,GOOD,0.4,"$60,660 ","$53,490 ",13.4044,,,
Acct:00000646087000000,6136 BOWLING BROOK DR,,,,1967,1967,,ONE STORY,1099,$56.08 ,1099,$56.08 ,14,GOOD,0.4,"$61,630 ","$54,320 ",13.4573,,,
Acct:00000646090000000,6204 BOWLING BROOK DR,,,,1968,1968,,ONE STORY,1118,$53.61 ,1118,$53.61 ,14,GOOD,0.4,"$59,940 ","$52,870 ",13.3724,,,
Acct:00000646093000000,6208 BOWLING BROOK DR,,,,1968,1968,"$9,600 ",ONE STORY,1532,$41.63 ,1052,$60.62 ,14,GOOD,0.4,"$63,770 ","$57,520 ",10.8658,,,
Acct:00000646096000000,6212 BOWLING BROOK DR,,,,1969,1969,"$3,920 ",ONE STORY,1399,$46.51 ,1175,$55.38 ,14,AVERAGE,0.45,"$65,070 ","$57,830 ",12.5195,,,
Acct:00000646066000000,6215 BOWLING BROOK DR,,,,1970,1970,,ONE STORY,1006,$58.12 ,1006,$58.12 ,14,GOOD,0.4,"$58,470 ","$51,610 ",13.292,,,
Acct:00000646099000000,6216 BOWLING BROOK DR,,,,1968,1968,,ONE STORY,1174,$56.38 ,1174,$56.38 ,14,GOOD,0.4,"$66,190 ","$58,240 ",13.6504,,,
Acct:00000646063000000,6219 BOWLING BROOK DR,,,,1970,1970,,ONE STORY,1294,$41.42 ,1294,$41.42 ,14,AVERAGE,0.45,"$53,600 ","$50,940 ",5.2218,,,
Acct:00000646102000000,6222 BOWLING BROOK DR,,,,1969,1969,"$8,316 ",ONE STORY,1518,$42.70 ,1056,$61.38 ,14,AVERAGE,0.45,"$64,820 ","$58,240 ",11.2981,,,
Acct:00000646060000000,6223 BOWLING BROOK DR,,,,1970,1970,,ONE STORY,1040,$53.33 ,1040,$53.33 ,14,AVERAGE,0.45,"$55,460 ","$49,030 ",13.1144,,,
Acct:00000646105000000,6226 BOWLING BROOK DR,,,,1969,1969,,ONE STORY,1066,$58.46 ,1066,$58.46 ,14,GOOD,0.4,"$62,320 ","$54,910 ",13.4948,,,
Acct:00000646057000000,6227 BOWLING BROOK DR,,,,1970,1970,,ONE STORY,1008,$54.08 ,1008,$54.08 ,14,AVERAGE,0.45,"$54,510 ","$48,210 ",13.0678,,,
Acct:00000646054000000,6231 BOWLING BROOK DR,,,,1970,1970,,ONE STORY,1035,$53.39 ,1035,$53.39 ,14,AVERAGE,0.45,"$55,260 ","$48,850 ",13.1218,,,
Acct:00000646108000000,6232 BOWLING BROOK DR,,,,1969,1969,,ONE STORY,980,$57.84 ,980,$57.84 ,14,GOOD,0.4,"$56,680 ","$50,070 ",13.2015,,,
Acct:00000646051000000,6235 BOWLING BROOK DR,,,,1970,1970,"$1,694 ",ONE STORY,1006,$59.80 ,1006,$59.80 ,14,GOOD,0.4,"$60,160 ","$53,300 ",12.8705,,,
Acct:00000646111000000,6236 BOWLING BROOK DR,,,,1969,1969,"$6,525 ",ONE STORY,1292,$46.48 ,1052,$57.08 ,14,GOOD,0.4,"$60,050 ","$50,000 ",20.1,,,
