Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:220955400B0060000,702 ASTAIRE AVE,,,,1994,1994,,ONE STORY,1444,$60.94 ,1444,$60.94 ,14,AVERAGE,0.3,"$88,000 ","$82,840 ",6.2289,,,
Acct:220955400C0040000,703 ASTAIRE AVE,,,,1995,1995,,ONE AND ONE HALF STORIES,1413,$56.86 ,1413,$56.86 ,14,FAIR,0.35,"$80,350 ","$68,000 ",18.1618,,,
Acct:220955400B0050000,706 ASTAIRE AVE,,,,1994,1994,,TWO STORIES,1419,$67.48 ,1419,$67.48 ,14,GOOD,0.25,"$95,760 ","$86,370 ",10.8718,,,
Acct:220955400C0030000,707 ASTAIRE AVE,,,,1995,1995,,ONE AND ONE HALF STORIES,1793,$58.17 ,1793,$58.17 ,14,GOOD,0.25,"$104,290 ","$93,940 ",11.0177,,,
Acct:220955400B0040000,710 ASTAIRE AVE,,,,1994,1994,,ONE AND ONE HALF STORIES,1670,$60.87 ,1670,$60.87 ,14,GOOD,0.25,"$101,650 ","$91,590 ",10.9837,,,
Acct:220955400C0020000,711 ASTAIRE AVE,,,,1994,1994,,ONE STORY,1374,$68.44 ,1374,$68.44 ,14,GOOD,0.25,"$94,040 ","$84,840 ",10.8439,,,
Acct:220955400B0030000,714 ASTAIRE AVE,,,,2004,2004,,ONE STORY,1194,$81.37 ,1194,$81.37 ,14,GOOD,0.15,"$97,160 ","$87,610 ",10.9006,,,
Acct:220955400C0010000,715 ASTAIRE AVE,,,,1996,1996,,ONE STORY,1244,$71.94 ,1244,$71.94 ,14,GOOD,0.25,"$89,490 ","$80,800 ",10.755,,,
Acct:220955400B0020000,718 ASTAIRE AVE,,,,1997,1997,,ONE STORY,1219,$77.53 ,1219,$77.53 ,14,VERY GOOD,0.2,"$94,510 ","$89,840 ",5.1981,,,
Acct:220955800C0080000,719 ASTAIRE AVE,,,,1995,1995,,TWO STORIES,1582,$66.81 ,1582,$66.81 ,14,VERY GOOD,0.2,"$105,690 ","$95,190 ",11.0306,,,
Acct:220955400B0010000,722 ASTAIRE AVE,,,,1997,1997,,ONE STORY,1264,$71.38 ,1264,$71.38 ,14,GOOD,0.25,"$90,220 ","$86,080 ",4.8095,,,
Acct:220955800C0090000,723 ASTAIRE AVE,,,,1997,1997,,TWO STORIES,1928,$58.87 ,1928,$58.87 ,14,GOOD,0.25,"$113,510 ","$108,130 ",4.9755,,,
