Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:28243210010010000,200 BROOKHAVEN DR,,,,1988,1988,,ONE STORY,1722,$84.13 ,1722,$84.13 ,16,GOOD,0.3,"$144,880 ","$132,010 ",9.7493,,,
Acct:28243210020060000,201 BROOKHAVEN DR,,,,1987,1987,,ONE AND ONE HALF STORIES,2131,$70.41 ,2131,$70.41 ,16,GOOD,0.35,"$150,040 ","$141,920 ",5.7215,,,
Acct:28243210010020000,204 BROOKHAVEN DR,,,,1988,1988,,ONE STORY,1595,$87.77 ,1595,$87.77 ,16,GOOD,0.3,"$139,990 ","$127,670 ",9.6499,,,
Acct:28243210010030000,208 BROOKHAVEN DR,,,,1994,1994,,TWO STORIES,2190,$75.30 ,2190,$75.30 ,16,AVERAGE,0.3,"$164,900 ","$149,790 ",10.0875,6/9/14,CASH SALE,"$146,900 "
Acct:28243210010040000,212 BROOKHAVEN DR,,,,1994,1994,,ONE STORY,1535,$94.68 ,1535,$94.68 ,16,GOOD,0.25,"$145,330 ","$132,400 ",9.7659,,,
Acct:28243210010050000,216 BROOKHAVEN DR,,,,1988,1988,,ONE STORY,1595,$87.77 ,1595,$87.77 ,16,GOOD,0.3,"$139,990 ","$127,670 ",9.6499,,,
Acct:282432100106R0000,220 BROOKHAVEN DR,,,,1993,1993,,ONE STORY,2353,$79.20 ,2353,$79.20 ,16,GOOD,0.25,"$186,350 ","$168,830 ",10.3773,,,
Acct:282432100107R0000,224 BROOKHAVEN DR,,,,1993,1993,,ONE STORY,2063,$83.94 ,2063,$83.94 ,16,GOOD,0.25,"$173,170 ","$157,130 ",10.2081,,,
Acct:282432100108R0000,228 BROOKHAVEN DR,,,,1993,1993,,ONE STORY,1662,$92.30 ,1662,$92.30 ,16,GOOD,0.25,"$153,400 ","$139,570 ",9.909,,,
Acct:282432100109R0000,232 BROOKHAVEN DR,,,,1993,1993,,ONE STORY,2353,$79.20 ,2353,$79.20 ,16,GOOD,0.25,"$186,350 ","$168,830 ",10.3773,,,
Acct:282432100110R0000,236 BROOKHAVEN DR,,,,1993,1993,,ONE STORY,2063,$83.94 ,2063,$83.94 ,16,GOOD,0.25,"$173,170 ","$157,130 ",10.2081,,,
Acct:282432100111R0000,240 BROOKHAVEN DR,,,,1994,1994,,ONE STORY,1578,$88.02 ,1578,$88.02 ,16,AVERAGE,0.3,"$138,900 ","$126,690 ",9.6377,,,
Acct:282432100112R0000,244 BROOKHAVEN DR,,,,1993,1993,"$20,000 ",ONE AND ONE HALF STORIES,2413,$86.72 ,2413,$86.72 ,16,VERY GOOD,0.2,"$209,260 ","$200,250 ",4.4994,3/3/15,MARKET SALE,"$204,900 "
Acct:282432100113R0000,248 BROOKHAVEN DR,,,,1993,1993,,ONE STORY,2008,$79.61 ,2008,$79.61 ,16,AVERAGE,0.3,"$159,850 ","$153,540 ",4.1097,12/19/14,MARKET SALE,"$156,000 "
Acct:282432100114R0000,252 BROOKHAVEN DR,,,,1992,1992,"$20,000 ",ONE STORY,1721,$91.52 ,1721,$91.52 ,16,AVERAGE,0.35,"$157,500 ","$152,800 ",3.0759,,,
Acct:282432101021R0000,201 DEVONSHIRE DR,,,,1991,1991,,ONE STORY,2077,$85.70 ,2077,$85.70 ,16,VERY GOOD,0.25,"$177,990 ","$167,320 ",6.377,10/4/13,MARKET SALE,"$165,000 "
Acct:28243210090150000,202 DEVONSHIRE DR,,,,1991,1991,,ONE AND ONE HALF STORIES,1990,$74.94 ,1990,$74.94 ,16,GOOD,0.3,"$149,130 ","$135,780 ",9.8321,,,
Acct:282432101022R0000,205 DEVONSHIRE DR,,,,1991,1991,"$20,000 ",TWO STORIES,2822,$74.57 ,2822,$74.57 ,16,GOOD,0.3,"$210,430 ","$190,650 ",10.375,,,
Acct:28243210090140000,206 DEVONSHIRE DR,,,,1988,1988,,ONE AND ONE HALF STORIES,1940,$76.55 ,1940,$76.55 ,16,GOOD,0.3,"$148,510 ","$135,230 ",9.8203,,,
Acct:282432101023R0000,209 DEVONSHIRE DR,,,,1991,1991,,ONE STORY,1751,$84.58 ,1751,$84.58 ,16,GOOD,0.3,"$148,100 ","$134,860 ",9.8176,,,
Acct:28243210090130000,210 DEVONSHIRE DR,,,,1991,1991,,ONE AND ONE HALF STORIES,1972,$76.21 ,1972,$76.21 ,16,GOOD,0.3,"$150,290 ","$136,810 ",9.8531,,,
Acct:282432101024R0000,213 DEVONSHIRE DR,,,,1991,1991,,TWO STORIES,3107,$57.59 ,3107,$57.59 ,16,FAIR,0.4,"$178,940 ","$162,250 ",10.2866,7/8/13,CASH SALE,"$156,500 "
Acct:28243210090120000,214 DEVONSHIRE DR,,,,1989,1989,,ONE STORY,1667,$91.61 ,1667,$91.61 ,16,VERY GOOD,0.25,"$152,720 ","$138,970 ",9.8942,9/13/13,MARKET SALE,"$137,000 "
Acct:282432101025R0000,217 DEVONSHIRE DR,,,,1992,1992,,ONE AND ONE HALF STORIES,2750,$66.41 ,2750,$66.41 ,16,GOOD,0.3,"$182,640 ","$175,210 ",4.2406,,,
Acct:28243210090110000,218 DEVONSHIRE DR,,,,1988,1988,,ONE STORY,1716,$84.76 ,1716,$84.76 ,16,GOOD,0.3,"$145,440 ","$132,500 ",9.766,,,
Acct:282432101026R0000,221 DEVONSHIRE DR,,,,1992,1992,"$20,000 ",TWO STORIES,2783,$70.81 ,2783,$70.81 ,16,AVERAGE,0.35,"$197,070 ","$190,630 ",3.3783,,,
Acct:282432101027R0000,225 DEVONSHIRE DR,,,,1992,1992,,ONE STORY,1746,$76.35 ,1746,$76.35 ,16,AVERAGE,0.35,"$133,310 ","$133,310 ",0,,,
Acct:282432101028R0000,229 DEVONSHIRE DR,,,,1991,1991,"$1,500 ",ONE STORY,1880,$83.78 ,1880,$83.78 ,16,GOOD,0.3,"$157,510 ","$143,390 ",9.8473,,,
Acct:282432101001R0000,4609 DEVONSHIRE DR,,,,1991,1991,"$1,500 ",ONE AND ONE HALF STORIES,2869,$65.63 ,2869,$65.63 ,16,GOOD,0.3,"$188,280 ","$170,710 ",10.2923,,,
Acct:282432100816R0000,4610 DEVONSHIRE DR,,,,1992,1992,"$1,000 ",TWO STORIES,2797,$67.97 ,2797,$67.97 ,16,GOOD,0.3,"$190,120 ","$182,380 ",4.2439,,,
Acct:282432101002R0000,4613 DEVONSHIRE DR,,,,1993,1993,"$20,000 ",ONE STORY,2008,$89.57 ,2008,$89.57 ,16,AVERAGE,0.3,"$179,850 ","$165,300 ",8.8022,,,
Acct:282432100815R0000,4614 DEVONSHIRE DR,,,,1994,1994,"$20,000 ",ONE AND ONE HALF STORIES,2009,$85.93 ,2009,$85.93 ,16,AVERAGE,0.3,"$172,640 ","$158,890 ",8.6538,,,
